Filename;Date;Time;Flag;Multiple;Species;Code;Confidence level;
P1070901.JPG;2016.03.05;22:03:52;;;Barbastella barbastellus;Bbar;99.5;
P1070902.JPG;2016.03.05;22:04:03;;;Barbastella barbastellus;Bbar;100.0;
P1070903.JPG;2016.03.05;22:06:28;;;Barbastella barbastellus;Bbar;99.9;
P1070904.JPG;2016.03.05;22:10:00;;;Barbastella barbastellus;Bbar;97.8;
P1070905.JPG;2016.03.05;22:14:33;;empty;;;;
P1070906.JPG;2016.03.05;22:18:15;;empty;;;;
P1070907.JPG;2016.03.05;22:29:38;;;Barbastella barbastellus;Bbar;99.8;
P1070908.JPG;2016.03.05;22:32:28;;empty;;;;
P1070909.JPG;2016.03.05;22:45:19;;;Barbastella barbastellus;Bbar;84.4;
P1070910.JPG;2016.03.05;22:46:06;;;Barbastella barbastellus;Bbar;99.9;
P1070911.JPG;2016.03.05;22:46:59;;;Barbastella barbastellus;Bbar;100.0;
P1070912.JPG;2016.03.05;22:50:48;;;Barbastella barbastellus;Bbar;95.5;
P1070913.JPG;2016.03.05;22:50:48;;empty;;;;
P1070914.JPG;2016.03.05;22:52:14;;;Plecotus auritus_Plecotus austriacus;;99.9;
P1070915.JPG;2016.03.05;23:03:14;;empty;;;;
P1070916.JPG;2016.03.05;23:03:17;;;Barbastella barbastellus;Bbar;99.9;
P1070917.JPG;2016.03.05;23:25:53;;multiple;Plecotus auritus_Plecotus austriacus;;96.1;
P1070917.JPG;2016.03.05;23:25:53;;multiple;Barbastella barbastellus;Bbar;99.8;
P1070918.JPG;2016.03.05;23:29:28;;;Plecotus auritus_Plecotus austriacus;;100.0;
P1070919.JPG;2016.03.05;23:43:07;;empty;;;;
P1070920.JPG;2016.03.05;23:43:26;;;Plecotus auritus_Plecotus austriacus;;100.0;
P1070921.JPG;2016.03.05;23:43:27;;;Plecotus auritus_Plecotus austriacus;;100.0;
P1070922.JPG;2016.03.05;23:44:34;;;Barbastella barbastellus;Bbar;99.2;
P1070923.JPG;2016.03.05;23:48:22;;;Barbastella barbastellus;Bbar;71.5;
P1070924.JPG;2016.03.05;23:48:23;;;Barbastella barbastellus;Bbar;99.7;
P1070925.JPG;2016.03.05;23:48:47;;;Plecotus auritus_Plecotus austriacus;;99.9;
P1070926.JPG;2016.03.05;23:50:15;;;Barbastella barbastellus;Bbar;98.5;
P1070927.JPG;2016.03.05;23:50:16;;;Barbastella barbastellus;Bbar;100.0;
P1070928.JPG;2016.03.05;23:59:01;;;Barbastella barbastellus;Bbar;99.9;
P1070929.JPG;2016.03.06;00:05:27;;;Barbastella barbastellus;Bbar;97.1;
P1070930.JPG;2016.03.06;00:05:48;;;Plecotus auritus_Plecotus austriacus;;100.0;
P1070931.JPG;2016.03.06;00:16:14;;;Myotis daubentonii;Mdau;91.2;
P1070932.JPG;2016.03.06;00:23:30;;;Barbastella barbastellus;Bbar;100.0;
P1070933.JPG;2016.03.06;00:34:04;;;Barbastella barbastellus;Bbar;98.7;
P1070934.JPG;2016.03.06;00:52:09;;;Barbastella barbastellus;Bbar;95.4;
P1070935.JPG;2016.03.06;01:03:13;;;Barbastella barbastellus;Bbar;76.8;
P1070936.JPG;2016.03.06;01:18:06;;;Barbastella barbastellus;Bbar;99.9;
P1070937.JPG;2016.03.06;01:21:35;;;Barbastella barbastellus;Bbar;96.7;
P1070938.JPG;2016.03.06;01:21:59;;;Barbastella barbastellus;Bbar;99.2;
P1070939.JPG;2016.03.06;01:25:19;;empty;;;;
P1070940.JPG;2016.03.06;01:30:12;;;Myotis nattereri;Mnat;99.4;
P1070941.JPG;2016.03.06;01:32:53;;;Barbastella barbastellus;Bbar;99.9;
P1070942.JPG;2016.03.06;01:36:39;;;Barbastella barbastellus;Bbar;99.9;
P1070943.JPG;2016.03.06;01:40:25;;;Barbastella barbastellus;Bbar;100.0;
P1070944.JPG;2016.03.06;01:47:29;;;Barbastella barbastellus;Bbar;94.0;
P1070945.JPG;2016.03.06;01:51:35;;;Barbastella barbastellus;Bbar;97.8;
P1070946.JPG;2016.03.06;01:52:59;;;Myotis nattereri;Mnat;99.9;
P1070947.JPG;2016.03.06;01:59:54;unsure;;Myotis nattereri;Mnat;32.2;
P1070948.JPG;2016.03.06;02:07:05;;empty;;;;
P1070949.JPG;2016.03.06;02:11:48;;;Barbastella barbastellus;Bbar;99.7;
P1070950.JPG;2016.03.06;02:16:40;;;Barbastella barbastellus;Bbar;98.1;
P1070951.JPG;2016.03.06;02:28:02;;;Barbastella barbastellus;Bbar;71.8;
P1070952.JPG;2016.03.06;02:28:52;;;Barbastella barbastellus;Bbar;99.5;
P1070953.JPG;2016.03.06;02:31:23;;;Barbastella barbastellus;Bbar;100.0;
P1070954.JPG;2016.03.06;02:41:57;;;Plecotus auritus_Plecotus austriacus;;100.0;
P1070955.JPG;2016.03.06;02:43:26;;;Barbastella barbastellus;Bbar;100.0;
P1070956.JPG;2016.03.06;02:47:55;;;Barbastella barbastellus;Bbar;100.0;
P1070957.JPG;2016.03.06;02:53:39;;empty;;;;
P1070958.JPG;2016.03.06;03:12:08;;;Barbastella barbastellus;Bbar;99.7;
P1070959.JPG;2016.03.06;03:13:23;;empty;;;;
P1070960.JPG;2016.03.06;03:27:08;;;Plecotus auritus_Plecotus austriacus;;100.0;
P1070961.JPG;2016.03.06;03:29:22;;;Barbastella barbastellus;Bbar;99.7;
P1070962.JPG;2016.03.06;03:35:08;;;Barbastella barbastellus;Bbar;99.9;
P1070963.JPG;2016.03.06;03:39:27;;empty;;;;
P1070964.JPG;2016.03.06;03:40:38;;;Plecotus auritus_Plecotus austriacus;;100.0;
P1070965.JPG;2016.03.06;04:16:16;;;Barbastella barbastellus;Bbar;99.2;
P1070966.JPG;2016.03.06;04:19:18;;;Barbastella barbastellus;Bbar;100.0;
P1070967.JPG;2016.03.06;04:30:09;;empty;;;;
P1070968.JPG;2016.03.06;04:39:23;;empty;;;;
P1070969.JPG;2016.03.06;04:41:46;;empty;;;;
P1070970.JPG;2016.03.06;04:47:05;;;Barbastella barbastellus;Bbar;99.5;
P1070971.JPG;2016.03.06;04:56:36;;;Barbastella barbastellus;Bbar;98.7;
P1070972.JPG;2016.03.06;04:58:13;;;Barbastella barbastellus;Bbar;100.0;
P1070973.JPG;2016.03.06;05:31:21;;;Myotis daubentonii;Mdau;99.8;
P1070974.JPG;2016.03.06;05:33:59;unsure;;Barbastella barbastellus;Bbar;51.0;
P1070975.JPG;2016.03.06;06:09:43;;empty;;;;
P1070976.JPG;2016.03.06;06:10:15;;;Barbastella barbastellus;Bbar;100.0;
P1070977.JPG;2016.03.06;06:10:22;;empty;;;;
P1070978.JPG;2016.03.06;06:24:18;;;Barbastella barbastellus;Bbar;100.0;
P1070979.JPG;2016.03.06;06:24:35;;;Barbastella barbastellus;Bbar;88.2;
P1070980.JPG;2016.03.06;06:27:08;;empty;;;;
