,site,th,species,FN,FP,below_th,total
282,Eldena,21,Mbra,24,1,0,46
283,Eldena,21,Mnat,278,143,3,6561
284,Eldena,21,Nnoc,0,0,0,0
285,Eldena,21,Ppip,0,2,0,2
286,Eldena,21,Paur,25,30,0,393
287,Eldena,21,Rhin,0,0,0,0
288,Eldena,22,Bbar,0,1,0,1
289,Eldena,22,Eser,0,0,0,0
290,Eldena,22,Mbec,0,1,0,1
291,Eldena,22,Mdas,0,3,0,3
292,Eldena,22,Mdau,130,175,1,2365
293,Eldena,22,Mema,0,2,0,2
294,Eldena,22,Mmyo,12,5,0,79
295,Eldena,22,Mbra,24,1,0,46
296,Eldena,22,Mnat,278,142,5,6561
297,Eldena,22,Nnoc,0,0,0,0
298,Eldena,22,Ppip,0,2,0,2
299,Eldena,22,Paur,25,30,0,393
300,Eldena,22,Rhin,0,0,0,0
301,Eldena,23,Bbar,0,1,0,1
302,Eldena,23,Eser,0,0,0,0
303,Eldena,23,Mbec,0,1,0,1
304,Eldena,23,Mdas,0,3,0,3
305,Eldena,23,Mdau,130,174,2,2365
306,Eldena,23,Mema,0,2,0,2
307,Eldena,23,Mmyo,12,5,0,79
308,Eldena,23,Mbra,24,1,0,46
309,Eldena,23,Mnat,277,142,7,6561
310,Eldena,23,Nnoc,0,0,0,0
311,Eldena,23,Ppip,0,2,0,2
312,Eldena,23,Paur,25,30,0,393
313,Eldena,23,Rhin,0,0,0,0
314,Eldena,24,Bbar,0,1,0,1
315,Eldena,24,Eser,0,0,0,0
316,Eldena,24,Mbec,0,1,0,1
317,Eldena,24,Mdas,0,3,0,3
318,Eldena,24,Mdau,129,173,2,2365
319,Eldena,24,Mema,0,2,0,2
320,Eldena,24,Mmyo,12,5,0,79
321,Eldena,24,Mbra,24,1,0,46
322,Eldena,24,Mnat,276,141,9,6561
323,Eldena,24,Nnoc,0,0,0,0
324,Eldena,24,Ppip,0,2,0,2
325,Eldena,24,Paur,25,30,0,393
326,Eldena,24,Rhin,0,0,0,0
327,Eldena,25,Bbar,0,1,0,1
328,Eldena,25,Eser,0,0,0,0
329,Eldena,25,Mbec,0,1,0,1
330,Eldena,25,Mdas,0,3,0,3
331,Eldena,25,Mdau,129,173,3,2365
332,Eldena,25,Mema,0,2,0,2
333,Eldena,25,Mmyo,12,5,0,79
334,Eldena,25,Mbra,24,1,0,46
335,Eldena,25,Mnat,276,140,11,6561
336,Eldena,25,Nnoc,0,0,0,0
337,Eldena,25,Ppip,0,2,0,2
338,Eldena,25,Paur,24,30,0,393
339,Eldena,25,Rhin,0,0,0,0
340,Eldena,26,Bbar,0,1,0,1
341,Eldena,26,Eser,0,0,0,0
342,Eldena,26,Mbec,0,1,0,1
343,Eldena,26,Mdas,0,3,0,3
344,Eldena,26,Mdau,127,172,3,2365
345,Eldena,26,Mema,0,2,0,2
346,Eldena,26,Mmyo,12,5,0,79
347,Eldena,26,Mbra,24,1,0,46
348,Eldena,26,Mnat,275,138,14,6561
349,Eldena,26,Nnoc,0,0,0,0
350,Eldena,26,Ppip,0,2,0,2
351,Eldena,26,Paur,24,30,0,393
352,Eldena,26,Rhin,0,0,0,0
353,Eldena,27,Bbar,0,1,0,1
354,Eldena,27,Eser,0,0,0,0
355,Eldena,27,Mbec,0,1,0,1
356,Eldena,27,Mdas,0,3,0,3
357,Eldena,27,Mdau,127,171,4,2365
358,Eldena,27,Mema,0,2,0,2
359,Eldena,27,Mmyo,12,5,0,79
360,Eldena,27,Mbra,24,1,0,46
361,Eldena,27,Mnat,274,138,17,6561
362,Eldena,27,Nnoc,0,0,0,0
363,Eldena,27,Ppip,0,2,0,2
364,Eldena,27,Paur,24,30,0,393
365,Eldena,27,Rhin,0,0,0,0
366,Eldena,28,Bbar,0,1,0,1
367,Eldena,28,Eser,0,0,0,0
368,Eldena,28,Mbec,0,1,0,1
369,Eldena,28,Mdas,0,3,0,3
370,Eldena,28,Mdau,127,170,4,2365
371,Eldena,28,Mema,0,2,0,2
372,Eldena,28,Mmyo,12,5,0,79
373,Eldena,28,Mbra,24,1,0,46
374,Eldena,28,Mnat,273,138,25,6561
375,Eldena,28,Nnoc,0,0,0,0
376,Eldena,28,Ppip,0,2,0,2
377,Eldena,28,Paur,24,30,0,393
378,Eldena,28,Rhin,0,0,0,0
379,Eldena,29,Bbar,0,1,0,1
380,Eldena,29,Eser,0,0,0,0
381,Eldena,29,Mbec,0,1,0,1
382,Eldena,29,Mdas,0,3,0,3
383,Eldena,29,Mdau,127,169,4,2365
384,Eldena,29,Mema,0,2,0,2
385,Eldena,29,Mmyo,12,5,0,79
386,Eldena,29,Mbra,24,1,0,46
387,Eldena,29,Mnat,270,138,28,6561
388,Eldena,29,Nnoc,0,0,0,0
389,Eldena,29,Ppip,0,2,0,2
390,Eldena,29,Paur,24,28,0,393
391,Eldena,29,Rhin,0,0,0,0
392,Eldena,30,Bbar,0,1,0,1
393,Eldena,30,Eser,0,0,0,0
394,Eldena,30,Mbec,0,0,0,1
395,Eldena,30,Mdas,0,3,0,3
396,Eldena,30,Mdau,125,168,6,2365
397,Eldena,30,Mema,0,2,0,2
398,Eldena,30,Mmyo,12,5,0,79
399,Eldena,30,Mbra,24,1,0,46
400,Eldena,30,Mnat,269,135,33,6561
401,Eldena,30,Nnoc,0,0,0,0
402,Eldena,30,Ppip,0,2,0,2
403,Eldena,30,Paur,21,27,0,393
404,Eldena,30,Rhin,0,0,0,0
405,Eldena,31,Bbar,0,1,0,1
406,Eldena,31,Eser,0,0,0,0
407,Eldena,31,Mbec,0,0,0,1
408,Eldena,31,Mdas,0,3,0,3
409,Eldena,31,Mdau,123,168,6,2365
410,Eldena,31,Mema,0,2,0,2
411,Eldena,31,Mmyo,12,4,0,79
412,Eldena,31,Mbra,24,1,0,46
413,Eldena,31,Mnat,266,132,35,6561
414,Eldena,31,Nnoc,0,0,0,0
415,Eldena,31,Ppip,0,1,0,2
416,Eldena,31,Paur,20,26,0,393
417,Eldena,31,Rhin,0,0,0,0
418,Eldena,32,Bbar,0,1,0,1
419,Eldena,32,Eser,0,0,0,0
420,Eldena,32,Mbec,0,0,0,1
421,Eldena,32,Mdas,0,3,0,3
422,Eldena,32,Mdau,121,167,7,2365
423,Eldena,32,Mema,0,2,0,2
424,Eldena,32,Mmyo,12,4,0,79
425,Eldena,32,Mbra,24,1,0,46
426,Eldena,32,Mnat,263,132,38,6561
427,Eldena,32,Nnoc,0,0,0,0
428,Eldena,32,Ppip,0,1,0,2
429,Eldena,32,Paur,20,22,0,393
430,Eldena,32,Rhin,0,0,0,0
431,Eldena,33,Bbar,0,1,0,1
432,Eldena,33,Eser,0,0,0,0
433,Eldena,33,Mbec,0,0,0,1
434,Eldena,33,Mdas,0,3,0,3
435,Eldena,33,Mdau,121,165,8,2365
436,Eldena,33,Mema,0,2,0,2
437,Eldena,33,Mmyo,12,4,1,79
438,Eldena,33,Mbra,24,1,0,46
439,Eldena,33,Mnat,259,132,41,6561
440,Eldena,33,Nnoc,0,0,0,0
441,Eldena,33,Ppip,0,1,0,2
442,Eldena,33,Paur,20,20,0,393
443,Eldena,33,Rhin,0,0,0,0
444,Eldena,34,Bbar,0,1,0,1
445,Eldena,34,Eser,0,0,0,0
446,Eldena,34,Mbec,0,0,0,1
447,Eldena,34,Mdas,0,2,0,3
448,Eldena,34,Mdau,118,164,9,2365
449,Eldena,34,Mema,0,2,0,2
450,Eldena,34,Mmyo,12,4,1,79
451,Eldena,34,Mbra,24,1,0,46
452,Eldena,34,Mnat,258,131,46,6561
453,Eldena,34,Nnoc,0,0,0,0
454,Eldena,34,Ppip,0,1,0,2
455,Eldena,34,Paur,20,19,1,393
456,Eldena,34,Rhin,0,0,0,0
457,Eldena,35,Bbar,0,1,0,1
458,Eldena,35,Eser,0,0,0,0
459,Eldena,35,Mbec,0,0,0,1
460,Eldena,35,Mdas,0,2,0,3
461,Eldena,35,Mdau,116,164,11,2365
462,Eldena,35,Mema,0,2,0,2
463,Eldena,35,Mmyo,12,4,1,79
464,Eldena,35,Mbra,24,1,0,46
465,Eldena,35,Mnat,258,129,50,6561
466,Eldena,35,Nnoc,0,0,0,0
467,Eldena,35,Ppip,0,1,0,2
468,Eldena,35,Paur,20,19,1,393
469,Eldena,35,Rhin,0,0,0,0
470,Eldena,36,Bbar,0,1,0,1
471,Eldena,36,Eser,0,0,0,0
472,Eldena,36,Mbec,0,0,0,1
473,Eldena,36,Mdas,0,2,0,3
474,Eldena,36,Mdau,116,164,11,2365
475,Eldena,36,Mema,0,2,0,2
476,Eldena,36,Mmyo,12,4,1,79
477,Eldena,36,Mbra,24,1,0,46
478,Eldena,36,Mnat,257,129,55,6561
479,Eldena,36,Nnoc,0,0,0,0
480,Eldena,36,Ppip,0,1,0,2
481,Eldena,36,Paur,20,18,1,393
482,Eldena,36,Rhin,0,0,0,0
483,Eldena,37,Bbar,0,1,0,1
484,Eldena,37,Eser,0,0,0,0
485,Eldena,37,Mbec,0,0,0,1
486,Eldena,37,Mdas,0,2,0,3
487,Eldena,37,Mdau,115,163,11,2365
488,Eldena,37,Mema,0,2,0,2
489,Eldena,37,Mmyo,12,4,1,79
490,Eldena,37,Mbra,24,1,0,46
491,Eldena,37,Mnat,257,128,57,6561
492,Eldena,37,Nnoc,0,0,0,0
493,Eldena,37,Ppip,0,1,0,2
494,Eldena,37,Paur,19,18,1,393
495,Eldena,37,Rhin,0,0,0,0
496,Eldena,38,Bbar,0,1,0,1
497,Eldena,38,Eser,0,0,0,0
498,Eldena,38,Mbec,0,0,0,1
499,Eldena,38,Mdas,0,2,0,3
500,Eldena,38,Mdau,114,162,12,2365
501,Eldena,38,Mema,0,2,0,2
502,Eldena,38,Mmyo,12,4,1,79
503,Eldena,38,Mbra,24,1,0,46
504,Eldena,38,Mnat,256,127,59,6561
505,Eldena,38,Nnoc,0,0,0,0
506,Eldena,38,Ppip,0,1,0,2
507,Eldena,38,Paur,19,18,1,393
508,Eldena,38,Rhin,0,0,0,0
509,Eldena,39,Bbar,0,1,0,1
510,Eldena,39,Eser,0,0,0,0
511,Eldena,39,Mbec,0,0,0,1
512,Eldena,39,Mdas,0,2,0,3
513,Eldena,39,Mdau,113,160,12,2365
514,Eldena,39,Mema,0,2,0,2
515,Eldena,39,Mmyo,12,4,1,79
516,Eldena,39,Mbra,23,1,0,46
517,Eldena,39,Mnat,254,126,68,6561
518,Eldena,39,Nnoc,0,0,0,0
519,Eldena,39,Ppip,0,1,0,2
520,Eldena,39,Paur,19,17,1,393
521,Eldena,39,Rhin,0,0,0,0
522,Eldena,40,Bbar,0,1,0,1
523,Eldena,40,Eser,0,0,0,0
524,Eldena,40,Mbec,0,0,0,1
525,Eldena,40,Mdas,0,2,0,3
526,Eldena,40,Mdau,113,157,13,2365
527,Eldena,40,Mema,0,2,0,2
528,Eldena,40,Mmyo,12,4,1,79
529,Eldena,40,Mbra,23,1,0,46
530,Eldena,40,Mnat,251,125,74,6561
531,Eldena,40,Nnoc,0,0,0,0
532,Eldena,40,Ppip,0,1,0,2
533,Eldena,40,Paur,18,16,1,393
534,Eldena,40,Rhin,0,0,0,0
535,Eldena,41,Bbar,0,1,0,1
536,Eldena,41,Eser,0,0,0,0
537,Eldena,41,Mbec,0,0,0,1
538,Eldena,41,Mdas,0,2,0,3
539,Eldena,41,Mdau,112,154,13,2365
540,Eldena,41,Mema,0,2,0,2
541,Eldena,41,Mmyo,12,4,1,79
542,Eldena,41,Mbra,22,1,1,46
543,Eldena,41,Mnat,249,124,82,6561
544,Eldena,41,Nnoc,0,0,0,0
545,Eldena,41,Ppip,0,1,0,2
546,Eldena,41,Paur,18,16,2,393
547,Eldena,41,Rhin,0,0,0,0
548,Eldena,42,Bbar,0,1,0,1
549,Eldena,42,Eser,0,0,0,0
550,Eldena,42,Mbec,0,0,0,1
551,Eldena,42,Mdas,0,2,0,3
552,Eldena,42,Mdau,110,152,14,2365
553,Eldena,42,Mema,0,2,0,2
554,Eldena,42,Mmyo,12,4,1,79
555,Eldena,42,Mbra,21,1,1,46
556,Eldena,42,Mnat,248,121,91,6561
557,Eldena,42,Nnoc,0,0,0,0
558,Eldena,42,Ppip,0,1,0,2
559,Eldena,42,Paur,17,15,2,393
560,Eldena,42,Rhin,0,0,0,0
561,Eldena,43,Bbar,0,1,0,1
562,Eldena,43,Eser,0,0,0,0
563,Eldena,43,Mbec,0,0,0,1
564,Eldena,43,Mdas,0,2,0,3
565,Eldena,43,Mdau,109,150,14,2365
566,Eldena,43,Mema,0,2,0,2
567,Eldena,43,Mmyo,12,4,1,79
568,Eldena,43,Mbra,21,1,1,46
569,Eldena,43,Mnat,246,120,96,6561
570,Eldena,43,Nnoc,0,0,0,0
571,Eldena,43,Ppip,0,1,0,2
572,Eldena,43,Paur,16,13,2,393
573,Eldena,43,Rhin,0,0,0,0
574,Eldena,44,Bbar,0,1,0,1
575,Eldena,44,Eser,0,0,0,0
576,Eldena,44,Mbec,0,0,0,1
577,Eldena,44,Mdas,0,2,0,3
578,Eldena,44,Mdau,108,147,15,2365
579,Eldena,44,Mema,0,2,0,2
580,Eldena,44,Mmyo,12,4,1,79
581,Eldena,44,Mbra,21,1,1,46
582,Eldena,44,Mnat,241,119,102,6561
