,site,th,species,FN,FP,below_th,total
172,Comthurey_r500,13,Eser,0,0,0,0
173,Comthurey_r500,13,Mbec,0,0,0,0
174,Comthurey_r500,13,Mdas,0,0,0,0
175,Comthurey_r500,13,Mdau,13,16,0,1085
176,Comthurey_r500,13,Mema,0,0,0,0
177,Comthurey_r500,13,Mmyo,8,10,0,2269
178,Comthurey_r500,13,Mbra,0,0,0,0
179,Comthurey_r500,13,Mnat,28,9,0,3033
180,Comthurey_r500,13,Nnoc,0,0,0,0
181,Comthurey_r500,13,Ppip,0,0,0,0
182,Comthurey_r500,13,Paur,1,0,0,37
183,Comthurey_r500,13,Rhin,0,0,0,0
184,Comthurey_r500,14,Bbar,1,13,0,90
185,Comthurey_r500,14,Eser,0,0,0,0
186,Comthurey_r500,14,Mbec,0,0,0,0
187,Comthurey_r500,14,Mdas,0,0,0,0
188,Comthurey_r500,14,Mdau,13,16,0,1085
189,Comthurey_r500,14,Mema,0,0,0,0
190,Comthurey_r500,14,Mmyo,8,10,0,2269
191,Comthurey_r500,14,Mbra,0,0,0,0
192,Comthurey_r500,14,Mnat,28,9,0,3033
193,Comthurey_r500,14,Nnoc,0,0,0,0
194,Comthurey_r500,14,Ppip,0,0,0,0
195,Comthurey_r500,14,Paur,1,0,0,37
196,Comthurey_r500,14,Rhin,0,0,0,0
197,Comthurey_r500,15,Bbar,1,13,0,90
198,Comthurey_r500,15,Eser,0,0,0,0
199,Comthurey_r500,15,Mbec,0,0,0,0
200,Comthurey_r500,15,Mdas,0,0,0,0
201,Comthurey_r500,15,Mdau,13,16,0,1085
202,Comthurey_r500,15,Mema,0,0,0,0
203,Comthurey_r500,15,Mmyo,8,10,0,2269
204,Comthurey_r500,15,Mbra,0,0,0,0
205,Comthurey_r500,15,Mnat,28,9,0,3033
206,Comthurey_r500,15,Nnoc,0,0,0,0
207,Comthurey_r500,15,Ppip,0,0,0,0
208,Comthurey_r500,15,Paur,1,0,0,37
209,Comthurey_r500,15,Rhin,0,0,0,0
210,Comthurey_r500,16,Bbar,1,13,0,90
211,Comthurey_r500,16,Eser,0,0,0,0
212,Comthurey_r500,16,Mbec,0,0,0,0
213,Comthurey_r500,16,Mdas,0,0,0,0
214,Comthurey_r500,16,Mdau,13,16,0,1085
215,Comthurey_r500,16,Mema,0,0,0,0
216,Comthurey_r500,16,Mmyo,8,10,0,2269
217,Comthurey_r500,16,Mbra,0,0,0,0
218,Comthurey_r500,16,Mnat,28,9,0,3033
219,Comthurey_r500,16,Nnoc,0,0,0,0
220,Comthurey_r500,16,Ppip,0,0,0,0
221,Comthurey_r500,16,Paur,1,0,0,37
222,Comthurey_r500,16,Rhin,0,0,0,0
223,Comthurey_r500,17,Bbar,1,13,0,90
224,Comthurey_r500,17,Eser,0,0,0,0
225,Comthurey_r500,17,Mbec,0,0,0,0
226,Comthurey_r500,17,Mdas,0,0,0,0
227,Comthurey_r500,17,Mdau,13,16,0,1085
228,Comthurey_r500,17,Mema,0,0,0,0
229,Comthurey_r500,17,Mmyo,8,10,0,2269
230,Comthurey_r500,17,Mbra,0,0,0,0
231,Comthurey_r500,17,Mnat,28,9,0,3033
232,Comthurey_r500,17,Nnoc,0,0,0,0
233,Comthurey_r500,17,Ppip,0,0,0,0
234,Comthurey_r500,17,Paur,1,0,0,37
235,Comthurey_r500,17,Rhin,0,0,0,0
236,Comthurey_r500,18,Bbar,1,13,0,90
237,Comthurey_r500,18,Eser,0,0,0,0
238,Comthurey_r500,18,Mbec,0,0,0,0
239,Comthurey_r500,18,Mdas,0,0,0,0
240,Comthurey_r500,18,Mdau,13,16,0,1085
241,Comthurey_r500,18,Mema,0,0,0,0
242,Comthurey_r500,18,Mmyo,8,10,0,2269
243,Comthurey_r500,18,Mbra,0,0,0,0
244,Comthurey_r500,18,Mnat,28,9,0,3033
245,Comthurey_r500,18,Nnoc,0,0,0,0
246,Comthurey_r500,18,Ppip,0,0,0,0
247,Comthurey_r500,18,Paur,1,0,0,37
248,Comthurey_r500,18,Rhin,0,0,0,0
249,Comthurey_r500,19,Bbar,1,13,0,90
250,Comthurey_r500,19,Eser,0,0,0,0
251,Comthurey_r500,19,Mbec,0,0,0,0
252,Comthurey_r500,19,Mdas,0,0,0,0
253,Comthurey_r500,19,Mdau,13,16,0,1085
254,Comthurey_r500,19,Mema,0,0,0,0
255,Comthurey_r500,19,Mmyo,8,10,0,2269
256,Comthurey_r500,19,Mbra,0,0,0,0
257,Comthurey_r500,19,Mnat,28,9,0,3033
258,Comthurey_r500,19,Nnoc,0,0,0,0
259,Comthurey_r500,19,Ppip,0,0,0,0
260,Comthurey_r500,19,Paur,1,0,0,37
261,Comthurey_r500,19,Rhin,0,0,0,0
262,Comthurey_r500,20,Bbar,1,13,0,90
263,Comthurey_r500,20,Eser,0,0,0,0
264,Comthurey_r500,20,Mbec,0,0,0,0
265,Comthurey_r500,20,Mdas,0,0,0,0
266,Comthurey_r500,20,Mdau,13,16,0,1085
