,site,th,species,FN,FP,below_th,total
198,Batzbach,15,Eser,0,7,0,7
199,Batzbach,15,Mbec,131,246,0,12161
200,Batzbach,15,Mdas,0,56,0,56
201,Batzbach,15,Mdau,63,99,0,2817
202,Batzbach,15,Mema,0,13,0,13
203,Batzbach,15,Mmyo,33,63,0,1735
204,Batzbach,15,Mbra,67,24,0,1403
205,Batzbach,15,Mnat,350,75,0,19494
206,Batzbach,15,Nnoc,0,2,0,2
207,Batzbach,15,Ppip,0,2,0,2
208,Batzbach,15,Paur,12,42,0,2228
209,Batzbach,15,Rhin,0,7,0,7
210,Batzbach,16,Bbar,0,7,0,7
211,Batzbach,16,Eser,0,6,0,7
212,Batzbach,16,Mbec,131,246,0,12161
213,Batzbach,16,Mdas,0,56,0,56
214,Batzbach,16,Mdau,63,99,0,2817
215,Batzbach,16,Mema,0,13,0,13
216,Batzbach,16,Mmyo,33,63,0,1735
217,Batzbach,16,Mbra,67,24,0,1403
218,Batzbach,16,Mnat,349,75,0,19494
219,Batzbach,16,Nnoc,0,2,0,2
220,Batzbach,16,Ppip,0,2,0,2
221,Batzbach,16,Paur,12,42,0,2228
222,Batzbach,16,Rhin,0,7,0,7
223,Batzbach,17,Bbar,0,7,0,7
224,Batzbach,17,Eser,0,6,0,7
225,Batzbach,17,Mbec,131,246,0,12161
226,Batzbach,17,Mdas,0,56,0,56
227,Batzbach,17,Mdau,63,99,0,2817
228,Batzbach,17,Mema,0,13,0,13
229,Batzbach,17,Mmyo,33,63,0,1735
230,Batzbach,17,Mbra,67,24,0,1403
231,Batzbach,17,Mnat,349,75,0,19494
232,Batzbach,17,Nnoc,0,2,0,2
233,Batzbach,17,Ppip,0,2,0,2
234,Batzbach,17,Paur,12,42,0,2228
235,Batzbach,17,Rhin,0,7,0,7
236,Batzbach,18,Bbar,0,7,0,7
237,Batzbach,18,Eser,0,6,0,7
238,Batzbach,18,Mbec,131,246,0,12161
239,Batzbach,18,Mdas,0,56,0,56
240,Batzbach,18,Mdau,63,99,0,2817
241,Batzbach,18,Mema,0,13,0,13
242,Batzbach,18,Mmyo,33,63,0,1735
243,Batzbach,18,Mbra,67,24,0,1403
244,Batzbach,18,Mnat,349,75,0,19494
245,Batzbach,18,Nnoc,0,2,0,2
246,Batzbach,18,Ppip,0,2,0,2
247,Batzbach,18,Paur,12,42,0,2228
248,Batzbach,18,Rhin,0,7,0,7
249,Batzbach,19,Bbar,0,7,0,7
250,Batzbach,19,Eser,0,6,0,7
251,Batzbach,19,Mbec,131,246,0,12161
252,Batzbach,19,Mdas,0,56,0,56
253,Batzbach,19,Mdau,63,98,0,2817
254,Batzbach,19,Mema,0,13,0,13
255,Batzbach,19,Mmyo,33,63,0,1735
256,Batzbach,19,Mbra,67,24,0,1403
257,Batzbach,19,Mnat,348,75,0,19494
258,Batzbach,19,Nnoc,0,2,0,2
259,Batzbach,19,Ppip,0,2,0,2
260,Batzbach,19,Paur,12,42,0,2228
261,Batzbach,19,Rhin,0,7,0,7
262,Batzbach,20,Bbar,0,7,0,7
263,Batzbach,20,Eser,0,6,0,7
264,Batzbach,20,Mbec,131,246,0,12161
265,Batzbach,20,Mdas,0,56,0,56
266,Batzbach,20,Mdau,63,98,0,2817
267,Batzbach,20,Mema,0,13,0,13
268,Batzbach,20,Mmyo,33,63,0,1735
269,Batzbach,20,Mbra,67,24,0,1403
270,Batzbach,20,Mnat,348,75,0,19494
271,Batzbach,20,Nnoc,0,2,0,2
272,Batzbach,20,Ppip,0,2,0,2
273,Batzbach,20,Paur,12,42,0,2228
274,Batzbach,20,Rhin,0,7,0,7
275,Batzbach,21,Bbar,0,7,0,7
276,Batzbach,21,Eser,0,6,0,7
277,Batzbach,21,Mbec,131,246,0,12161
278,Batzbach,21,Mdas,0,56,0,56
279,Batzbach,21,Mdau,62,98,0,2817
280,Batzbach,21,Mema,0,13,0,13
281,Batzbach,21,Mmyo,33,63,0,1735
282,Batzbach,21,Mbra,67,24,0,1403
283,Batzbach,21,Mnat,348,75,0,19494
284,Batzbach,21,Nnoc,0,2,0,2
285,Batzbach,21,Ppip,0,2,0,2
286,Batzbach,21,Paur,12,41,0,2228
287,Batzbach,21,Rhin,0,7,0,7
288,Batzbach,22,Bbar,0,7,0,7
289,Batzbach,22,Eser,0,6,0,7
290,Batzbach,22,Mbec,129,246,0,12161
291,Batzbach,22,Mdas,0,54,0,56
292,Batzbach,22,Mdau,62,98,0,2817
293,Batzbach,22,Mema,0,13,0,13
294,Batzbach,22,Mmyo,33,62,0,1735
295,Batzbach,22,Mbra,66,24,0,1403
296,Batzbach,22,Mnat,348,75,0,19494
297,Batzbach,22,Nnoc,0,2,0,2
298,Batzbach,22,Ppip,0,2,0,2
299,Batzbach,22,Paur,12,41,0,2228
300,Batzbach,22,Rhin,0,7,0,7
301,Batzbach,23,Bbar,0,7,0,7
302,Batzbach,23,Eser,0,6,0,7
303,Batzbach,23,Mbec,128,246,0,12161
304,Batzbach,23,Mdas,0,54,0,56
305,Batzbach,23,Mdau,62,98,0,2817
306,Batzbach,23,Mema,0,13,0,13
307,Batzbach,23,Mmyo,33,61,0,1735
308,Batzbach,23,Mbra,66,24,0,1403
309,Batzbach,23,Mnat,348,75,1,19494
310,Batzbach,23,Nnoc,0,2,0,2
311,Batzbach,23,Ppip,0,2,0,2
312,Batzbach,23,Paur,12,41,0,2228
313,Batzbach,23,Rhin,0,7,0,7
314,Batzbach,24,Bbar,0,7,0,7
315,Batzbach,24,Eser,0,6,0,7
316,Batzbach,24,Mbec,128,246,0,12161
317,Batzbach,24,Mdas,0,54,0,56
318,Batzbach,24,Mdau,61,98,0,2817
319,Batzbach,24,Mema,0,13,0,13
320,Batzbach,24,Mmyo,33,61,0,1735
321,Batzbach,24,Mbra,66,23,0,1403
322,Batzbach,24,Mnat,348,75,2,19494
323,Batzbach,24,Nnoc,0,2,0,2
324,Batzbach,24,Ppip,0,2,0,2
325,Batzbach,24,Paur,12,41,0,2228
326,Batzbach,24,Rhin,0,7,0,7
327,Batzbach,25,Bbar,0,7,0,7
328,Batzbach,25,Eser,0,6,0,7
329,Batzbach,25,Mbec,128,246,1,12161
330,Batzbach,25,Mdas,0,54,0,56
331,Batzbach,25,Mdau,61,98,0,2817
332,Batzbach,25,Mema,0,13,0,13
333,Batzbach,25,Mmyo,33,61,0,1735
334,Batzbach,25,Mbra,66,23,0,1403
335,Batzbach,25,Mnat,348,75,2,19494
336,Batzbach,25,Nnoc,0,2,0,2
337,Batzbach,25,Ppip,0,2,0,2
338,Batzbach,25,Paur,12,41,0,2228
339,Batzbach,25,Rhin,0,7,0,7
340,Batzbach,26,Bbar,0,7,0,7
341,Batzbach,26,Eser,0,6,0,7
342,Batzbach,26,Mbec,127,246,2,12161
343,Batzbach,26,Mdas,0,53,0,56
344,Batzbach,26,Mdau,61,98,1,2817
345,Batzbach,26,Mema,0,13,0,13
346,Batzbach,26,Mmyo,33,60,0,1735
347,Batzbach,26,Mbra,65,23,0,1403
348,Batzbach,26,Mnat,348,75,2,19494
349,Batzbach,26,Nnoc,0,2,0,2
350,Batzbach,26,Ppip,0,2,0,2
351,Batzbach,26,Paur,12,41,0,2228
352,Batzbach,26,Rhin,0,7,0,7
353,Batzbach,27,Bbar,0,7,0,7
354,Batzbach,27,Eser,0,6,0,7
355,Batzbach,27,Mbec,126,246,3,12161
356,Batzbach,27,Mdas,0,53,0,56
357,Batzbach,27,Mdau,61,97,2,2817
358,Batzbach,27,Mema,0,12,0,13
359,Batzbach,27,Mmyo,32,59,0,1735
360,Batzbach,27,Mbra,65,23,0,1403
361,Batzbach,27,Mnat,347,73,2,19494
362,Batzbach,27,Nnoc,0,2,0,2
363,Batzbach,27,Ppip,0,2,0,2
364,Batzbach,27,Paur,11,41,0,2228
365,Batzbach,27,Rhin,0,6,0,7
366,Batzbach,28,Bbar,0,7,0,7
367,Batzbach,28,Eser,0,6,0,7
368,Batzbach,28,Mbec,124,245,3,12161
369,Batzbach,28,Mdas,0,52,0,56
370,Batzbach,28,Mdau,61,97,2,2817
371,Batzbach,28,Mema,0,12,0,13
372,Batzbach,28,Mmyo,32,58,0,1735
373,Batzbach,28,Mbra,64,23,0,1403
374,Batzbach,28,Mnat,346,73,2,19494
375,Batzbach,28,Nnoc,0,2,0,2
376,Batzbach,28,Ppip,0,2,0,2
377,Batzbach,28,Paur,11,40,0,2228
378,Batzbach,28,Rhin,0,6,0,7
379,Batzbach,29,Bbar,0,7,0,7
380,Batzbach,29,Eser,0,6,0,7
381,Batzbach,29,Mbec,124,245,3,12161
382,Batzbach,29,Mdas,0,52,0,56
383,Batzbach,29,Mdau,61,97,3,2817
384,Batzbach,29,Mema,0,11,0,13
385,Batzbach,29,Mmyo,32,57,0,1735
386,Batzbach,29,Mbra,64,23,0,1403
387,Batzbach,29,Mnat,344,73,2,19494
388,Batzbach,29,Nnoc,0,2,0,2
389,Batzbach,29,Ppip,0,2,0,2
390,Batzbach,29,Paur,11,40,0,2228
391,Batzbach,29,Rhin,0,6,0,7
392,Batzbach,30,Bbar,0,6,0,7
393,Batzbach,30,Eser,0,6,0,7
394,Batzbach,30,Mbec,124,245,4,12161
395,Batzbach,30,Mdas,0,52,0,56
396,Batzbach,30,Mdau,61,97,3,2817
397,Batzbach,30,Mema,0,11,0,13
398,Batzbach,30,Mmyo,31,57,1,1735
399,Batzbach,30,Mbra,64,23,0,1403
400,Batzbach,30,Mnat,344,73,2,19494
401,Batzbach,30,Nnoc,0,2,0,2
402,Batzbach,30,Ppip,0,2,0,2
403,Batzbach,30,Paur,11,40,0,2228
404,Batzbach,30,Rhin,0,6,0,7
405,Batzbach,31,Bbar,0,6,0,7
406,Batzbach,31,Eser,0,6,0,7
407,Batzbach,31,Mbec,123,244,4,12161
408,Batzbach,31,Mdas,0,51,0,56
409,Batzbach,31,Mdau,61,96,3,2817
410,Batzbach,31,Mema,0,11,0,13
411,Batzbach,31,Mmyo,31,56,1,1735
412,Batzbach,31,Mbra,64,22,0,1403
413,Batzbach,31,Mnat,340,73,2,19494
414,Batzbach,31,Nnoc,0,2,0,2
415,Batzbach,31,Ppip,0,2,0,2
416,Batzbach,31,Paur,11,40,0,2228
417,Batzbach,31,Rhin,0,6,0,7
418,Batzbach,32,Bbar,0,6,0,7
419,Batzbach,32,Eser,0,6,0,7
420,Batzbach,32,Mbec,123,243,6,12161
421,Batzbach,32,Mdas,0,51,0,56
422,Batzbach,32,Mdau,61,96,4,2817
423,Batzbach,32,Mema,0,11,0,13
424,Batzbach,32,Mmyo,31,56,1,1735
425,Batzbach,32,Mbra,64,22,0,1403
426,Batzbach,32,Mnat,339,73,3,19494
427,Batzbach,32,Nnoc,0,2,0,2
428,Batzbach,32,Ppip,0,2,0,2
429,Batzbach,32,Paur,11,40,0,2228
430,Batzbach,32,Rhin,0,6,0,7
431,Batzbach,33,Bbar,0,6,0,7
432,Batzbach,33,Eser,0,6,0,7
433,Batzbach,33,Mbec,121,242,7,12161
434,Batzbach,33,Mdas,0,51,0,56
435,Batzbach,33,Mdau,61,95,5,2817
436,Batzbach,33,Mema,0,11,0,13
437,Batzbach,33,Mmyo,31,55,1,1735
438,Batzbach,33,Mbra,64,22,0,1403
439,Batzbach,33,Mnat,335,71,3,19494
440,Batzbach,33,Nnoc,0,2,0,2
441,Batzbach,33,Ppip,0,2,0,2
442,Batzbach,33,Paur,11,40,0,2228
443,Batzbach,33,Rhin,0,6,0,7
444,Batzbach,34,Bbar,0,6,0,7
445,Batzbach,34,Eser,0,6,0,7
446,Batzbach,34,Mbec,119,241,7,12161
447,Batzbach,34,Mdas,0,51,0,56
448,Batzbach,34,Mdau,60,95,7,2817
449,Batzbach,34,Mema,0,10,0,13
450,Batzbach,34,Mmyo,31,53,1,1735
451,Batzbach,34,Mbra,64,22,1,1403
452,Batzbach,34,Mnat,331,69,4,19494
453,Batzbach,34,Nnoc,0,2,0,2
454,Batzbach,34,Ppip,0,2,0,2
455,Batzbach,34,Paur,10,39,0,2228
456,Batzbach,34,Rhin,0,5,0,7
457,Batzbach,35,Bbar,0,6,0,7
458,Batzbach,35,Eser,0,6,0,7
459,Batzbach,35,Mbec,117,241,7,12161
460,Batzbach,35,Mdas,0,51,0,56
461,Batzbach,35,Mdau,60,95,7,2817
462,Batzbach,35,Mema,0,10,0,13
463,Batzbach,35,Mmyo,31,53,1,1735
464,Batzbach,35,Mbra,64,21,3,1403
465,Batzbach,35,Mnat,330,69,7,19494
466,Batzbach,35,Nnoc,0,2,0,2
467,Batzbach,35,Ppip,0,1,0,2
468,Batzbach,35,Paur,10,38,0,2228
469,Batzbach,35,Rhin,0,5,0,7
470,Batzbach,36,Bbar,0,5,0,7
471,Batzbach,36,Eser,0,6,0,7
472,Batzbach,36,Mbec,115,240,7,12161
473,Batzbach,36,Mdas,0,51,0,56
474,Batzbach,36,Mdau,58,95,7,2817
475,Batzbach,36,Mema,0,9,0,13
476,Batzbach,36,Mmyo,31,53,1,1735
477,Batzbach,36,Mbra,64,19,4,1403
478,Batzbach,36,Mnat,328,69,11,19494
479,Batzbach,36,Nnoc,0,2,0,2
480,Batzbach,36,Ppip,0,1,0,2
481,Batzbach,36,Paur,10,37,0,2228
482,Batzbach,36,Rhin,0,5,0,7
483,Batzbach,37,Bbar,0,5,0,7
484,Batzbach,37,Eser,0,6,0,7
485,Batzbach,37,Mbec,114,240,10,12161
486,Batzbach,37,Mdas,0,50,0,56
487,Batzbach,37,Mdau,57,94,8,2817
488,Batzbach,37,Mema,0,9,0,13
489,Batzbach,37,Mmyo,30,53,1,1735
490,Batzbach,37,Mbra,63,19,4,1403
491,Batzbach,37,Mnat,327,67,15,19494
492,Batzbach,37,Nnoc,0,2,0,2
493,Batzbach,37,Ppip,0,1,0,2
494,Batzbach,37,Paur,10,36,0,2228
495,Batzbach,37,Rhin,0,5,0,7
496,Batzbach,38,Bbar,0,5,0,7
497,Batzbach,38,Eser,0,6,0,7
498,Batzbach,38,Mbec,111,239,10,12161
499,Batzbach,38,Mdas,0,50,0,56
500,Batzbach,38,Mdau,57,93,11,2817
501,Batzbach,38,Mema,0,9,0,13
502,Batzbach,38,Mmyo,30,53,1,1735
503,Batzbach,38,Mbra,62,19,4,1403
504,Batzbach,38,Mnat,326,65,20,19494
505,Batzbach,38,Nnoc,0,2,0,2
506,Batzbach,38,Ppip,0,1,0,2
507,Batzbach,38,Paur,10,35,0,2228
508,Batzbach,38,Rhin,0,5,0,7
509,Batzbach,39,Bbar,0,5,0,7
510,Batzbach,39,Eser,0,6,0,7
511,Batzbach,39,Mbec,109,238,10,12161
512,Batzbach,39,Mdas,0,50,0,56
513,Batzbach,39,Mdau,57,92,11,2817
514,Batzbach,39,Mema,0,9,0,13
515,Batzbach,39,Mmyo,30,53,2,1735
516,Batzbach,39,Mbra,61,19,7,1403
517,Batzbach,39,Mnat,325,64,23,19494
518,Batzbach,39,Nnoc,0,2,0,2
519,Batzbach,39,Ppip,0,1,0,2
520,Batzbach,39,Paur,10,34,0,2228
521,Batzbach,39,Rhin,0,5,0,7
522,Batzbach,40,Bbar,0,4,0,7
523,Batzbach,40,Eser,0,6,0,7
524,Batzbach,40,Mbec,108,235,11,12161
525,Batzbach,40,Mdas,0,50,0,56
526,Batzbach,40,Mdau,55,90,11,2817
527,Batzbach,40,Mema,0,9,0,13
528,Batzbach,40,Mmyo,30,52,2,1735
529,Batzbach,40,Mbra,61,18,7,1403
530,Batzbach,40,Mnat,319,64,28,19494
531,Batzbach,40,Nnoc,0,2,0,2
532,Batzbach,40,Ppip,0,1,0,2
533,Batzbach,40,Paur,10,33,0,2228
534,Batzbach,40,Rhin,0,5,0,7
535,Batzbach,41,Bbar,0,3,0,7
536,Batzbach,41,Eser,0,6,0,7
537,Batzbach,41,Mbec,107,234,11,12161
538,Batzbach,41,Mdas,0,48,0,56
539,Batzbach,41,Mdau,54,88,11,2817
540,Batzbach,41,Mema,0,9,0,13
541,Batzbach,41,Mmyo,30,50,3,1735
542,Batzbach,41,Mbra,59,17,7,1403
543,Batzbach,41,Mnat,314,64,32,19494
544,Batzbach,41,Nnoc,0,2,0,2
545,Batzbach,41,Ppip,0,1,0,2
546,Batzbach,41,Paur,10,33,0,2228
547,Batzbach,41,Rhin,0,5,0,7
548,Batzbach,42,Bbar,0,3,0,7
549,Batzbach,42,Eser,0,6,0,7
550,Batzbach,42,Mbec,105,230,13,12161
551,Batzbach,42,Mdas,0,48,0,56
552,Batzbach,42,Mdau,54,87,11,2817
553,Batzbach,42,Mema,0,8,0,13
554,Batzbach,42,Mmyo,30,48,3,1735
555,Batzbach,42,Mbra,59,17,7,1403
556,Batzbach,42,Mnat,308,64,37,19494
557,Batzbach,42,Nnoc,0,1,0,2
558,Batzbach,42,Ppip,0,1,0,2
559,Batzbach,42,Paur,9,33,0,2228
560,Batzbach,42,Rhin,0,4,0,7
561,Batzbach,43,Bbar,0,3,0,7
562,Batzbach,43,Eser,0,6,0,7
563,Batzbach,43,Mbec,105,228,14,12161
564,Batzbach,43,Mdas,0,46,0,56
565,Batzbach,43,Mdau,53,86,11,2817
566,Batzbach,43,Mema,0,8,0,13
567,Batzbach,43,Mmyo,30,47,4,1735
568,Batzbach,43,Mbra,58,17,7,1403
569,Batzbach,43,Mnat,303,64,45,19494
570,Batzbach,43,Nnoc,0,1,0,2
571,Batzbach,43,Ppip,0,1,0,2
572,Batzbach,43,Paur,9,32,0,2228
573,Batzbach,43,Rhin,0,3,0,7
574,Batzbach,44,Bbar,0,3,0,7
575,Batzbach,44,Eser,0,6,0,7
576,Batzbach,44,Mbec,105,226,15,12161
577,Batzbach,44,Mdas,0,46,0,56
578,Batzbach,44,Mdau,52,86,11,2817
579,Batzbach,44,Mema,0,6,0,13
580,Batzbach,44,Mmyo,30,45,4,1735
581,Batzbach,44,Mbra,56,17,8,1403
582,Batzbach,44,Mnat,298,61,49,19494
583,Batzbach,44,Nnoc,0,1,0,2
584,Batzbach,44,Ppip,0,1,0,2
585,Batzbach,44,Paur,8,32,0,2228
586,Batzbach,44,Rhin,0,3,0,7
587,Batzbach,45,Bbar,0,3,0,7
588,Batzbach,45,Eser,0,6,0,7
589,Batzbach,45,Mbec,103,224,17,12161
590,Batzbach,45,Mdas,0,45,0,56
591,Batzbach,45,Mdau,51,85,11,2817
592,Batzbach,45,Mema,0,6,0,13
593,Batzbach,45,Mmyo,30,43,4,1735
594,Batzbach,45,Mbra,55,16,10,1403
595,Batzbach,45,Mnat,293,59,57,19494
596,Batzbach,45,Nnoc,0,1,0,2
